bill_number,bill_id,title
SB40,396533,"An Act For The Arkansas Real Estate Commission - Capital Improvement Projects Reappropriation."
SB41,396534,"An Act For The Department Of Arkansas State Police Reappropriation."
SB42,396535,"An Act For The Secretary Of State Reappropriation."
SB43,396536,"An Act For The Arkansas Student Loan Authority Appropriation For The 2012-2013 Fiscal Year."
SB44,396537,"An Act For The Arkansas Teacher Retirement System Appropriation For The 2012-2013 Fiscal Year."
SB45,396538,"An Act For The Auditor Of State - Trial Court Administrative Assistants Appropriation For The 2012-2013 Fiscal Year."
SB46,396539,"An Act For The Department Of Finance And Administration - Disbursing Officer - For Viticulture And Enology Program Grants."
SB47,396540,"An Act For The Department Of Veterans' Affairs Appropriation For The 2012-2013 Fiscal Year."
SB48,396541,"An Act For The War Memorial Stadium Commission - Capital Improvement Projects Reappropriation."
SB49,396542,"An Act For The Bureau Of Legislative Research And The Legislative Council Appropriation For The 2012-2013 Fiscal Year."
SB50,396543,"An Act For The Arkansas Building Authority Appropriation For The 2012-2013 Fiscal Year."
SB51,396544,"An Act For The Department Of Education - Grants And Aid To Local School Districts Appropriation For The 2012-2013 Fiscal Year."
SB52,396545,"An Act For The Department Of Education Appropriation For The 2012-2013 Fiscal Year."
SB53,396546,"An Act For The Department Of Rural Services Appropriation For The 2012-2013 Fiscal Year."
SB54,396547,"An Act For The Arkansas Geological Survey Appropriation For The 2012-2013 Fiscal Year."
SB55,396548,"An Act For The Auditor Of State - Continuing Education Of Local Officials Appropriation For The 2012-2013 Fiscal Year."
SB56,396549,"An Act For The Arkansas Psychology Board Appropriation For The 2012-2013 Fiscal Year."
SB57,396550,"An Act For The Arkansas Catfish Promotion Board Appropriation For The 2012-2013 Fiscal Year."
SB58,396551,"An Act For The Arkansas Fire Protection Licensing Board Appropriation For The 2012-2013 Fiscal Year."
SB59,396552,"An Act For The Arkansas Towing And Recovery Board Appropriation For The 2012-2013 Fiscal Year."
SB60,396553,"An Act For The Auditor Of State - Official Court Reporters Appropriation For The 2012-2013 Fiscal Year."
SB61,396554,"An Act For The Liquefied Petroleum Gas Board Appropriation For The 2012-2013 Fiscal Year."
SB62,396555,"An Act For The Arkansas State Board Of Dental Examiners Appropriation For The 2011-2012 Fiscal Year."
SB63,396556,"An Act For The Arkansas Board Of Health Education Appropriation For The 2012-2013 Fiscal Year."
SB64,396557,"An Act For The Auditor Of State - Juvenile Probation And Intake Officers Appropriation For The 2012-2013 Fiscal Year."
SB65,396558,"An Act For The Arkansas Beef Council Appropriation For The 2012-2013 Fiscal Year."
SB66,396559,"An Act For The Department Of Parks And Tourism Appropriation For The 2012-2013 Fiscal Year."
SB67,396560,"An Act For The Department Of Higher Education Appropriation For The 2012-2013 Fiscal Year."
