Row,id5506,id12223,id5494,id5489,id5492,id5508,id5499,id5549,id5528,id5568,id5500,id5569,id14436,id14440,id5543,id14442,id5493,id14189,id5570,id14438,id5546,id5519,id11394,id5571,id5515,id5560,id5544,id10578,id10575,id5559,id10577,id5509,id5502,id14443,id10574,id5513,id14768,id14447,id5527,id5573,id5536,id10584,id10579,id5541,id5483,id10570,id10572,id14764,id10573,id5514,id10571,id11398,id10568,id11298,id5557,id14444,id10576,id5497,id11396,id5567,id5565
id14436,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,2,2,2,1,2,2,2,1,NaN,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2
id14440,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NaN,1,2,2,2,2,2,2,2,1,2,2,2,1,NaN,2,2,1,2,NaN,2,2,2,2,2,2,2,2,1,2,1,2
id5543,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,2,2,2,NaN,2,1,2,2,2,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,2,2,2,2,2,2,2,2,NaN,1,2,2
id5556,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,1,NaN,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,NaN,1,1,1,NaN,1,1,1,1,1
id14442,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,NaN,1,1,1,NaN,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1
id5518,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1
id5493,3,3,2,3,3,3,3,3,3,2,2,2,2,2,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,1,2,3,3,2,3,3,2,2,2,3,3,3,2,1,3,3,2,2,1,3,3,2,3,3,3,2,3,2,3,2,3
id14189,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2
id14765,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,NaN,1,1,1,NaN,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1
id14192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1
id14766,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,NaN,1,1,1,NaN,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1
id5570,3,4,3,4,4,4,4,3,4,2,4,4,2,3,4,3,4,3,4,3,3,4,4,4,4,4,4,4,4,1,4,4,4,3,4,4,3,3,3,3,2,4,2,1,4,4,2,3,4,4,4,3,4,4,4,3,4,1,4,3,4
id14438,3,3,4,4,4,4,4,3,4,3,3,4,3,4,4,3,4,4,4,4,2,4,4,4,4,4,4,4,4,1,4,4,3,4,4,4,4,4,2,3,3,4,2,1,4,4,2,4,3,4,3,4,4,4,3,4,4,2,4,3,4
id5546,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,1,2,1,2,2,2
