Row,id10957,id10959,id10960,id10965,id10971,id10972,id10973,id11610,id11611,id11920,id14091,id14092,id14094,id14095,id14096,id14097,id14100,id14101,id14103,id14104,id14105,id14107,id14108,id14109,id14110,id14114,id14115,id14117,id14119,id14120,id14121,id14122,id14124,id14125,id14219,id1496,id16033,id16087,id16094,id16282,id16284,id16291,id16292,id16293,id16296,id16297,id16301,id9547
id1496,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id16033,NaN,NaN,11,4,NaN,24,NaN,1,NaN,11,11,11,14,NaN,NaN,NaN,13,13,NaN,NaN,2,13,13,1,NaN,1,2,1,13,3,NaN,NaN,15,NaN,2,NaN,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN
id16087,NaN,NaN,2,NaN,NaN,10,NaN,1,NaN,3,3,2,3,NaN,NaN,NaN,2,3,NaN,NaN,1,3,3,1,NaN,NaN,NaN,1,3,1,NaN,NaN,3,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,1
id16094,1,1,2,NaN,NaN,5,1,1,1,2,1,2,2,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,NaN,1,1,1,1,NaN,1,NaN,1,1,1
id16221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id16278,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id16280,1,1,5,1,1,5,1,1,NaN,4,4,5,5,1,1,NaN,4,5,1,1,1,5,5,1,1,NaN,1,NaN,5,1,1,1,5,NaN,1,NaN,5,1,1,1,1,1,NaN,NaN,2,1,1,1
id16282,4,1,11,3,1,19,1,1,NaN,12,10,11,13,1,4,NaN,12,12,1,4,3,15,13,1,1,NaN,1,1,13,3,4,2,12,NaN,1,NaN,11,1,1,4,1,1,NaN,NaN,2,3,2,1
id16283,NaN,NaN,4,NaN,NaN,4,NaN,NaN,NaN,5,4,4,4,NaN,NaN,NaN,4,4,NaN,NaN,NaN,4,4,NaN,NaN,NaN,NaN,1,4,NaN,NaN,NaN,4,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN
id16284,NaN,NaN,4,2,NaN,14,NaN,NaN,NaN,4,1,3,4,NaN,NaN,NaN,4,5,NaN,1,1,4,4,NaN,NaN,NaN,1,1,4,1,NaN,NaN,4,NaN,NaN,NaN,3,NaN,NaN,1,1,NaN,NaN,NaN,1,NaN,1,NaN
id16285,1,1,3,1,1,11,1,1,NaN,4,2,3,3,1,1,NaN,3,3,1,1,1,3,3,1,1,NaN,1,1,3,1,1,1,3,NaN,1,NaN,3,1,1,1,1,1,NaN,NaN,2,1,2,1
id16286,NaN,NaN,2,NaN,NaN,6,NaN,NaN,NaN,2,2,2,2,NaN,NaN,NaN,1,2,NaN,NaN,NaN,2,2,NaN,NaN,NaN,NaN,1,2,NaN,NaN,NaN,2,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,1,NaN
