name,party_name,year,district,ag_count,candidate_count,comm_count,construct_count,defense_count,energy_count,finance_count,general_count,government_count,health_count,ideology_count,labor_count,law_count,non_count,partyfund_count,public_count,transportation_count,uncoded_count,unitem_count,total_count,ag,candidate,comm,construct,defense,energy,finance,general,government,health,ideology,labor,law,non,partyfund,public,transportation,uncoded,unitem,total,year_count
"BLANTON, SANDRA",DEMOCRATIC,2010,HOUSE DISTRICT 062,0,3,5,1,0,9,1,5,2,4,2,35,13,0,19,0,2,74,1,176,0,244,4500,50,0,2800,200,2050,1056,800,253.5648,25944,4762,0,156138.13,0,700,32690.658,4730,236918.3528,2
"BLINN, MICHAEL J",DEMOCRATIC,2012,HOUSE DISTRICT 091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,360,1
"BOERSMA, DIANA J",REPUBLICAN,2012,HOUSE DISTRICT 016,0,2,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,14,0,2131.2,0,0,0,0,0,0,0,0,31824,3129.5616,0,0,0,0,0,0,0,37084.7616,1
"BOGER, RON",REPUBLICAN,2010,SENATE DISTRICT 039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,600,800,1
"BOHACEK, MIKE",REPUBLICAN,2016,SENATE DISTRICT 008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,2,14,0,0,0,455,0,0,0,0,0,0,0,0,0,0,7280,0,0,8781.5,1956.5,18473,1
"BOHANNON, JESSE",REPUBLICAN,2016,HOUSE DISTRICT 017,0,3,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,34,3,47,0,3768.583,0,0,0,0,0,3185,7236.1744,0,0,0,0,0,0,0,0,36952.37,2044.7154,53186.8428,1
"BOHANNON, JESSE E",REPUBLICAN,2014,HOUSE DISTRICT 048,0,11,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,14,2,36,0,4940.2344,0,0,0,0,0,0,9746.3256,0,0,0,0,0,0,0,0,6200.589,2087.2641,22974.4131,1
"BOLAND, MIKE",DEMOCRATIC,2016,HOUSE DISTRICT 037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1628.6634,195.65,1824.3134,1
"BONIFER, STEVE",DEMOCRATIC,2016,HOUSE DISTRICT 072,0,2,0,0,0,0,0,2,0,0,0,3,1,0,0,0,0,32,3,43,0,1456,0,0,0,0,0,182,0,0,0,2639,91,0,0,0,0,60940.9801,1368.64,66677.6201,1
"BONITATI, JOHN",DEMOCRATIC,2012,HOUSE DISTRICT 022,0,5,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,33,2,46,0,1104,0,0,0,0,48,0,0,0,0,1920,249.6,0,0,0,0,3131.712,1081.536,7534.848,1
"BOOTS, PHILIP L (PHIL)",REPUBLICAN,2010,SENATE DISTRICT 023,8,1,13,28,0,60,36,65,0,11,0,13,16,0,3,0,15,67,1,337,3457.5,232.5,8617.5,20185,0,25151,18713,25652.5,0,5154,0,5749,4915.5,0,38873.2746,0,5955,28150,116.25,190922.0246,2
"BORDERS, BRUCE ALAN",REPUBLICAN,2010,HOUSE DISTRICT 045,0,7,2,8,0,4,55,13,0,10,2,10,4,0,17,0,0,41,5,178,0,5291.34,788,7235,0,1076,30582.5,22504.7048,0,3138.5,28800,3099,1206.5,0,208318.0112,0,0,12126,4390.8118,328556.3678,4
"BORROR, RANDY L",REPUBLICAN,2010,HOUSE DISTRICT 084,0,3,3,7,0,9,12,17,1,11,0,1,9,0,0,0,5,77,0,155,0,2250,2500,8400,0,11850,8100,8130.94,500,7600,0,500,4500,0,0,0,2050,27904.96,0,84285.9,1
"BOSMA, BRIAN C",REPUBLICAN,2010,HOUSE DISTRICT 088,60,20,83,92,3,183,230,398,12,238,21,21,171,0,3,0,61,905,0,2501,39409,20021.6849,99039.5,192138,2750,311785.6047,440800.6859,1533562.16,11507.5,251777,49082.5,18362.5,188951.25,0,7705,0,88402.5,455886.0705,0,3711180.956,4
"BOSSO, LUKE",REPUBLICAN,2012,HOUSE DISTRICT 086,0,2,0,0,0,0,0,1,1,0,2,0,2,0,2,0,0,62,3,75,0,480,0,0,0,0,0,288,1440,0,5760,0,480,0,22812.5952,0,0,29646.24,5664,66570.8352,1
"BOWER, RYAN D",DEMOCRATIC,2010,HOUSE DISTRICT 073,0,8,0,0,0,0,0,1,0,0,0,3,1,0,9,0,0,36,2,60,0,13500,0,0,0,0,0,500,0,0,0,16300,1000,0,132909.16,0,0,9019.36,3985.5,177214.02,1
"BRAUN, MIKE",REPUBLICAN,2014,HOUSE DISTRICT 063,7,1,5,5,0,16,16,17,2,9,2,1,9,0,0,0,6,170,0,266,5560,930,2285,3503.5,0,5446.6829,7685,6255.9,370,2708.5,1385,465,2647,0,0,0,4641,93334.5197,0,137217.1026,2
"BRAUN, STEVEN J",REPUBLICAN,2012,HOUSE DISTRICT 024,2,11,3,5,0,9,10,23,6,3,2,2,32,0,4,0,1,95,5,213,1920,127451.88,1890,3369,0,2715,4113,15928.5,2784,705,960,426,11073,0,7533.936,0,465,29205.3,216,210755.616,2
"BRAY, RODRIC D",REPUBLICAN,2012,SENATE DISTRICT 037,3,6,18,5,0,35,44,31,7,29,2,8,22,0,5,0,5,77,86,383,432,27552.4416,9433,1514,0,18892.12,34844.153,10187.5,1536,9342,935,7373,15917.75,0,19884.288,0,1794,22926.95,6930.0308,189494.2334,2
"BREAUX, JEAN D",DEMOCRATIC,2012,SENATE DISTRICT 034,1,0,16,0,0,13,15,24,1,49,2,9,19,0,0,0,2,45,2,198,192,0,7855.5,0,0,5054,3815.5,7265,120,17298.5,892.0275,3930,16019.5,0,0,0,935,11590.5972,122.5406,75090.1653,2
"BREEDEN, BILL",DEMOCRATIC,2016,HOUSE DISTRICT 046,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,39,3,47,0,273,0,0,0,0,0,0,0,0,2448.9374,455,0,0,0,0,0,10803.52,9951.1685,23931.6259,1
"BREWTON, JERRY",REPUBLICAN,2012,HOUSE DISTRICT 048,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,32,3,40,0,16176,0,0,0,0,1920,0,0,0,0,0,0,0,0,0,0,10666.128,3948.72,32710.848,1
"BRIM, MARK J",LIBERTARIAN,2012,HOUSE DISTRICT 056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279.12,0,0,936.96,0,1216.08,1
"BRODEN, JOHN EDWARD",DEMOCRATIC,2012,SENATE DISTRICT 010,1,0,10,7,0,14,10,17,2,17,0,7,12,0,0,0,6,131,1,235,480,0,4608,3456,0,5088,5904,6672,360,6816,0,3744,10224,0,0,0,3936,14145.6,192,65625.6,1
"BRODHACKER, DAYMON L",DEMOCRATIC,2014,HOUSE DISTRICT 060,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,41,0,46,0,0,0,0,0,0,0,0,358.05,0,0,186,0,0,465,0,0,6235.2873,0,7244.3373,1
"BROWN JR, RICHARD (RICK)",LIBERTARIAN,2016,HOUSE DISTRICT 053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,91,1
"BROWN, CHARLIE",DEMOCRATIC,2010,HOUSE DISTRICT 003,2,5,12,8,0,27,15,38,2,180,0,8,45,0,1,0,5,159,22,529,640,1181,9216.5,4660,0,12245.5,4913.5,14542.42,211,95180.5,0,3221,26991,0,1344,0,2335,59474,3005,239160.42,4
"BROWN, DONN",REPUBLICAN,2010,HOUSE DISTRICT 027,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,16,3,24,0,1757.46,0,150,0,0,0,0,0,0,0,0,0,0,3000,0,0,6419,2690.94,14017.4,1
"BROWN, ELIZABETH M (LIZ)",REPUBLICAN,2014,SENATE DISTRICT 015,4,27,3,5,0,3,7,21,4,10,4,1,6,0,3,0,3,262,0,363,1953,57568.395,1488,1441.5,0,1906.5,6742.5,40560.3783,372,6736.9479,11625,279,1674,0,68541,0,1348.5,96505.3281,0,298742.0493,1
"BROWN, TIMOTHY N (TIM)",REPUBLICAN,2010,HOUSE DISTRICT 041,15,1,43,32,2,64,57,91,1,203,5,9,56,0,1,0,13,309,0,902,9737,2325,19462,42248,1820,32845,52539.5,51357.5,465,143759.82,11520,4565,27425.4772,0,153.357,0,15615,141671.76,0,557509.4142,4
"BRUNNER, MARTIN (MARTY)",REPUBLICAN,2010,HOUSE DISTRICT 068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,100,600,1
"BUCK, JAMES R (JIM)",REPUBLICAN,2010,SENATE DISTRICT 021,16,23,14,20,1,38,41,57,16,38,3,1,11,0,0,0,10,685,3,977,3848,4616.4,11061,8334.5,465,14160,10130.55,17479.6533,1129.3,10953.5,2145,500,2282,0,0,0,3792.5,70757.565,1609.83,163264.7983,2
"BUILTA, KIM",REPUBLICAN,2010,HOUSE DISTRICT 036,5,45,1,2,0,2,3,11,3,0,0,0,9,0,4,0,1,171,5,262,1300,10423.31,100,750,0,150,500,2070,600,0,0,0,5525,0,18458.75,0,100,35400,1039,76416.06,1
"BUJALSKI, ADAM M",REPUBLICAN,2014,HOUSE DISTRICT 048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6608.7567,88.35,6697.1067,1
"BULLOCK, BRYAN K",DEMOCRATIC,2010,HOUSE DISTRICT 003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,2438,3188,1
"BUOSCIO, JODI L",DEMOCRATIC,2014,HOUSE DISTRICT 021,0,2,0,0,0,0,3,0,1,1,6,13,0,0,2,0,0,88,5,121,0,115.75,0,0,0,0,15810,0,69.75,1860,1946.4807,7660.0748,0,0,1581,0,0,15082.6134,4710.6519,48836.3208,2
"BURKE, RACHEL",DEMOCRATIC,2016,HOUSE DISTRICT 089,0,5,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,17,0,27,0,477.75,0,0,0,0,0,0,68.25,0,13.104,1092,0,0,0,0,0,1859.312,0,3510.416,1
"BURKETT, BOB",DEMOCRATIC,2014,SENATE DISTRICT 023,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,26,1,33,0,1860,0,0,0,0,0,0,0,0,0,1860,0,0,0,0,0,3725.1522,27.9,7473.0522,1
"BURNS, JASON",INDEPENDENT,2016,HOUSE DISTRICT 038,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,0,15,0,0,0,0,0,0,0,0,0,0,0,910,0,0,0,0,0,1416.4878,0,2326.4878,1
"BURTON, CHARLES (WOODY)",REPUBLICAN,2010,HOUSE DISTRICT 058,3,19,29,29,0,42,177,52,7,51,9,12,53,0,4,0,13,377,9,886,926,11986.5,9121.58,9894.25,0,10522.6,103963.529,14143.0494,792,22803.5,13647,5461.5,12714.5,0,2761.0276,0,4367,100131.1423,4039.077,327274.2553,4
"BYRD, DARREN",REPUBLICAN,2016,HOUSE DISTRICT 065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866.3564,0,866.3564,1
"BYRUM, SHON",DEMOCRATIC,2014,HOUSE DISTRICT 033,0,3,0,0,0,0,0,0,0,0,14,13,1,0,1,0,0,91,3,126,0,1162.5,0,0,0,0,0,0,0,0,813.7221,2976,232.5,0,930,0,0,14140.5291,195.3,20450.5512,1
"CAHILL, JIM S",DEMOCRATIC,2012,SENATE DISTRICT 037,0,3,0,0,0,0,1,0,0,0,8,14,0,0,2,0,0,13,0,41,0,312,0,0,0,0,48,0,0,0,686.9184,10848,0,0,192,0,0,2569.92,0,14656.8384,1
"CAMPBELL, CATHERINE",REPUBLICAN,2010,HOUSE DISTRICT 014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,600,1
"CARBAUGH, MARTIN",REPUBLICAN,2012,HOUSE DISTRICT 081,3,28,10,10,2,19,73,45,6,30,6,8,15,0,17,0,5,218,25,520,1233,20874.44,4135,8910,1137.5,9596,62909.75,35360,1324,14051.5,12199.5,3013,4326,0,204464.8766,0,1294,64755.1524,5907.4644,455491.1834,3
"CARSON, JOHN D",REPUBLICAN,2014,SENATE DISTRICT 038,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26,2,29,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,5502.7542,362.7,5958.4542,1
