chamb,thirdparty,republican,democratic,election_year,candidate,cumulative
0,0,1,0,2008,"EBERHART, SEAN R",2
0,0,1,0,2010,"EBERHART, SEAN R",3
0,0,1,0,2012,"EBERHART, SEAN R",4
0,0,1,0,2014,"EBERHART, SEAN R",5
0,0,1,0,2010,"ELLSPERMANN, SUE",1
0,0,1,0,2006,"ELROD, JON",1
0,0,0,1,2012,"ERRINGTON, SUE E",1
0,0,0,1,2014,"ERRINGTON, SUE E",2
0,0,1,0,2000,"ESPICH, JEFFREY KELLER",15
0,0,1,0,2002,"ESPICH, JEFFREY KELLER",16
0,0,1,0,2004,"ESPICH, JEFFREY KELLER",17
0,0,1,0,2006,"ESPICH, JEFFREY KELLER",18
0,0,1,0,2008,"ESPICH, JEFFREY KELLER",19
0,0,1,0,2010,"ESPICH, JEFFREY KELLER",20
0,0,1,0,2014,"FINE, WILLIAM I (BILL)",1
0,0,1,0,2000,"FOLEY, RALPH M",5
0,0,1,0,2002,"FOLEY, RALPH M",6
0,0,1,0,2004,"FOLEY, RALPH M",7
0,0,1,0,2006,"FOLEY, RALPH M",8
0,0,1,0,2008,"FOLEY, RALPH M",9
0,0,1,0,2010,"FOLEY, RALPH M",10
0,0,0,1,2012,"FORESTAL, DAN",1
0,0,0,1,2014,"FORESTAL, DAN",2
0,0,0,1,2000,"FRENZ, JOHN GREGORY",3
0,0,0,1,2002,"FRENZ, JOHN GREGORY",4
0,0,1,0,2000,"FRIEND, WILLIAM C",5
0,0,1,0,2002,"FRIEND, WILLIAM C",6
0,0,1,0,2004,"FRIEND, WILLIAM C",7
0,0,1,0,2006,"FRIEND, WILLIAM C",8
0,0,1,0,2008,"FRIEND, WILLIAM C",9
0,0,1,0,2010,"FRIEND, WILLIAM C",10
0,0,1,0,2012,"FRIEND, WILLIAM C",11
0,0,1,0,2014,"FRIEND, WILLIAM C",12
0,0,1,0,2000,"FRIZZELL, DAVID N",5
0,0,1,0,2002,"FRIZZELL, DAVID N",6
0,0,1,0,2004,"FRIZZELL, DAVID N",7
0,0,1,0,2006,"FRIZZELL, DAVID N",8
0,0,1,0,2008,"FRIZZELL, DAVID N",9
0,0,1,0,2010,"FRIZZELL, DAVID N",10
0,0,1,0,2012,"FRIZZELL, DAVID N",11
0,0,1,0,2014,"FRIZZELL, DAVID N",12
0,0,0,1,2000,"FRY, CRAIG RAYMOND",7
0,0,0,1,2002,"FRY, CRAIG RAYMOND",8
0,0,0,1,2004,"FRY, CRAIG RAYMOND",9
0,0,0,1,2006,"FRY, CRAIG RAYMOND",10
0,0,0,1,2008,"FRY, CRAIG RAYMOND",11
0,0,0,1,2010,"FRY, CRAIG RAYMOND",12
0,0,1,0,2010,"FRYE, RANDALL (RANDY)",1
0,0,1,0,2012,"FRYE, RANDALL (RANDY)",2
0,0,1,0,2014,"FRYE, RANDALL (RANDY)",3
0,0,0,1,2000,"GIAQUINTA, BENJAMIN (BEN)",2
0,0,0,1,2002,"GIAQUINTA, BENJAMIN (BEN)",3
0,0,0,1,2004,"GIAQUINTA, BENJAMIN (BEN)",4
0,0,0,1,2006,"GIAQUINTA, PHILIP",1
0,0,0,1,2008,"GIAQUINTA, PHILIP",2
0,0,0,1,2010,"GIAQUINTA, PHILIP",3
0,0,0,1,2012,"GIAQUINTA, PHILIP",4
0,0,0,1,2014,"GIAQUINTA, PHILIP",5
0,0,1,0,2000,"GOEGLEIN, GLORIA J",6
0,0,0,1,2000,"GOODIN, TERRY ALLEN",1
0,0,0,1,2002,"GOODIN, TERRY ALLEN",2
0,0,0,1,2004,"GOODIN, TERRY ALLEN",3
0,0,0,1,2006,"GOODIN, TERRY ALLEN",4
0,0,0,1,2008,"GOODIN, TERRY ALLEN",5
0,0,0,1,2010,"GOODIN, TERRY ALLEN",6
0,0,0,1,2012,"GOODIN, TERRY ALLEN",7
0,0,0,1,2014,"GOODIN, TERRY ALLEN",8
0,0,0,1,2000,"GREGG, JOHN R",8
0,0,0,1,2000,"GRUBB, FLOYD DALE",7
0,0,0,1,2002,"GRUBB, FLOYD DALE",8
0,0,0,1,2004,"GRUBB, FLOYD DALE",9
0,0,0,1,2006,"GRUBB, FLOYD DALE",10
0,0,0,1,2008,"GRUBB, FLOYD DALE",11
0,0,0,1,2010,"GRUBB, FLOYD DALE",12
0,0,1,0,2010,"GUTWEIN, DOUG L",3
0,0,1,0,2012,"GUTWEIN, DOUG L",4
0,0,1,0,2014,"GUTWEIN, DOUG L",5
0,0,1,0,2008,"GUTWEIN, DOUGLAS L",2
0,0,1,0,2004,"GUTWEIN, ERIC A",2
0,0,1,0,2006,"GUTWEIN, ERIC A",3
0,0,0,1,2012,"HALE, CHRISTINA",1
0,0,0,1,2014,"HALE, CHRISTINA",2
0,0,1,0,2012,"HAMM, RICHARD (DICK)",1
0,0,1,0,2014,"HAMM, RICHARD (DICK)",2
0,0,1,0,2012,"HARMAN, TIMOTHY P",1
0,0,1,0,2014,"HARMAN, TIMOTHY P",1
0,0,0,1,2010,"HARRIS JR, EARL L",15
0,0,0,1,2012,"HARRIS JR, EARL L",16
0,0,0,1,2014,"HARRIS JR, EARL L",17
0,0,0,1,2000,"HARRIS, EARL L",10
0,0,0,1,2002,"HARRIS, EARL L",11
0,0,0,1,2004,"HARRIS, EARL L",12
0,0,0,1,2006,"HARRIS, EARL L",13
0,0,0,1,2008,"HARRIS, EARL L",14
0,0,1,0,2004,"HARRIS, TIMOTHY W",1
0,0,1,0,2006,"HARRIS, TIMOTHY W",2
0,0,0,1,2000,"HASLER, BRIAN",3
0,0,0,1,2002,"HASLER, BRIAN",4
0,0,1,0,2010,"HEATON, ROBERT (BOB)",1
0,0,1,0,2012,"HEATON, ROBERT (BOB)",2
0,0,1,0,2014,"HEATON, ROBERT (BOB)",3
0,0,1,0,2002,"HEIM, STEVEN M",1
0,0,1,0,2004,"HEIM, STEVEN M",2
0,0,1,0,2000,"HERNDON, C MICHAEL MIKE",1
0,0,0,1,2000,"HERRELL, RON",2
0,0,0,1,2002,"HERRELL, RON",3
0,0,0,1,2006,"HERRELL, RON",1
0,0,0,1,2008,"HERRELL, RON",2
0,0,1,0,2010,"HEUER, KATHLEEN",1
0,0,1,0,2012,"HEUER, KATHLEEN",2
0,0,1,0,2000,"HINKLE, PHILLIP D (PHIL)",1
0,0,1,0,2002,"HINKLE, PHILLIP D (PHIL)",2
0,0,1,0,2004,"HINKLE, PHILLIP D (PHIL)",3
0,0,1,0,2006,"HINKLE, PHILLIP D (PHIL)",4
0,0,1,0,2008,"HINKLE, PHILLIP D (PHIL)",5
0,0,1,0,2010,"HINKLE, PHILLIP D (PHIL)",6
0,0,1,0,2000,"HOFFMAN, ROBERT A",3
0,0,1,0,2002,"HOFFMAN, ROBERT A",4
0,0,1,0,2004,"HOFFMAN, ROBERT A",5
0,0,0,1,2004,"HOY, PHIL",1
0,0,0,1,2006,"HOY, PHIL",2
0,0,1,0,2012,"HUSTON, TODD",1
0,0,1,0,2014,"HUSTON, TODD",2
0,0,1,0,2014,"JUDY, CHRISTOPHER N",1
0,0,1,0,2010,"KARICKHOFF, MICHAEL",1
0,0,1,0,2012,"KARICKHOFF, MICHAEL",2
0,0,1,0,2014,"KARICKHOFF, MICHAEL",3
0,0,0,1,2000,"KERSEY, CLYDE",3
0,0,0,1,2002,"KERSEY, CLYDE",4
0,0,0,1,2004,"KERSEY, CLYDE",5
0,0,0,1,2006,"KERSEY, CLYDE",6
0,0,0,1,2008,"KERSEY, CLYDE",7
0,0,0,1,2010,"KERSEY, CLYDE",8
0,0,0,1,2012,"KERSEY, CLYDE",9
0,0,0,1,2014,"KERSEY, CLYDE",10
0,0,1,0,2010,"KIRCHHOFER, CINDY",1
0,0,1,0,2012,"KIRCHHOFER, CINDY",2
0,0,1,0,2014,"KIRCHHOFER, CINDY",3
0,0,0,1,2000,"KLINKER, SHEILA J",10
0,0,0,1,2002,"KLINKER, SHEILA J",11
0,0,0,1,2004,"KLINKER, SHEILA J",12
0,0,0,1,2006,"KLINKER, SHEILA J",13
0,0,0,1,2008,"KLINKER, SHEILA J",14
0,0,0,1,2010,"KLINKER, SHEILA J",15
0,0,0,1,2012,"KLINKER, SHEILA J",16
0,0,0,1,2014,"KLINKER, SHEILA J",17
0,0,1,0,2006,"KNOLLMAN, TOM",1
0,0,1,0,2008,"KNOLLMAN, TOM",2
0,0,1,0,2010,"KNOLLMAN, TOM",3
0,0,1,0,2002,"KOCH, ERIC ALLAN",1
0,0,1,0,2004,"KOCH, ERIC ALLAN",2
0,0,1,0,2006,"KOCH, ERIC ALLAN",3
0,0,1,0,2008,"KOCH, ERIC ALLAN",4
0,0,1,0,2010,"KOCH, ERIC ALLAN",5
0,0,1,0,2012,"KOCH, ERIC ALLAN",6
0,0,1,0,2014,"KOCH, ERIC ALLAN",7
0,0,0,1,2000,"KROMKOWSKI, THOMAS S",11
0,0,0,1,2002,"KROMKOWSKI, THOMAS S",12
0,0,0,1,2004,"KROMKOWSKI, THOMAS S",13
0,0,1,0,2000,"KRUSE, DENNIS K",6
0,0,1,0,2002,"KRUSE, DENNIS K",7
0,0,0,1,2000,"KRUZAN, MARK",8
0,0,1,0,2010,"KUBACKI, REBECCA A",1
0,0,1,0,2012,"KUBACKI, REBECCA A",2
0,0,0,1,2000,"KUZMAN, ROBERT D",3
0,0,0,1,2002,"KUZMAN, ROBERT D",4
0,0,0,1,2004,"KUZMAN, ROBERT D",5
0,0,0,1,2006,"KUZMAN, ROBERT D",6
0,0,1,0,2002,"LAPLANTE, R BROOKS",1
0,0,0,1,2000,"LAWSON, LINDA C",2
0,0,0,1,2002,"LAWSON, LINDA C",3
0,0,0,1,2004,"LAWSON, LINDA C",4
0,0,0,1,2006,"LAWSON, LINDA C",5
0,0,0,1,2008,"LAWSON, LINDA C",6
0,0,0,1,2010,"LAWSON, LINDA C",7
0,0,0,1,2012,"LAWSON, LINDA C",8
0,0,0,1,2014,"LAWSON, LINDA C",9
0,0,1,0,2002,"LEHE, DONALD J (DON)",1
0,0,1,0,2004,"LEHE, DONALD J (DON)",2
0,0,1,0,2006,"LEHE, DONALD J (DON)",3
0,0,1,0,2008,"LEHE, DONALD J (DON)",4
0,0,1,0,2010,"LEHE, DONALD J (DON)",5
0,0,1,0,2012,"LEHE, DONALD J (DON)",6
0,0,1,0,2014,"LEHE, DONALD J (DON)",7
0,0,1,0,2008,"LEHMAN, MATTHEW S",1
0,0,1,0,2010,"LEHMAN, MATTHEW S",2
0,0,1,0,2012,"LEHMAN, MATTHEW S",3
0,0,1,0,2014,"LEHMAN, MATTHEW S",4
0,0,1,0,2002,"LEONARD, DANIEL J (DAN)",1
0,0,1,0,2004,"LEONARD, DANIEL J (DAN)",2
0,0,1,0,2006,"LEONARD, DANIEL J (DAN)",3
0,0,1,0,2008,"LEONARD, DANIEL J (DAN)",4
0,0,1,0,2010,"LEONARD, DANIEL J (DAN)",5
0,0,1,0,2012,"LEONARD, DANIEL J (DAN)",6
0,0,1,0,2014,"LEONARD, DANIEL J (DAN)",7
0,0,0,1,2000,"LEUCK, CLAIRE M",7
0,0,0,1,2000,"LIGGETT, RON",5
0,0,0,1,2002,"LIGGETT, RON",6
0,0,1,0,2012,"LUCAS, JIM",1
0,0,1,0,2014,"LUCAS, JIM",2
0,0,1,0,2000,"LUTZ, L JACK",6
0,0,1,0,2002,"LUTZ, L JACK",7
0,0,1,0,2004,"LUTZ, L JACK",8
0,0,1,0,2006,"LUTZ, L JACK",9
0,0,1,0,2008,"LUTZ, L JACK",10
0,0,1,0,2010,"LUTZ, L JACK",11
0,0,1,0,2012,"LUTZ, L JACK",12
0,0,0,1,2000,"LYTLE, MARKT LANCE",5
0,0,0,1,2002,"LYTLE, MARKT LANCE",6
0,0,0,1,2012,"MACER, KARLEE D",1
0,0,0,1,2014,"MACER, KARLEE D",2
0,0,1,0,2010,"MAHAN, KEVIN A",1
0,0,1,0,2012,"MAHAN, KEVIN A",2
0,0,1,0,2014,"MAHAN, KEVIN A",3
0,0,0,1,2000,"MAHERN, EDMUND M",3
0,0,0,1,2002,"MAHERN, EDMUND M",4
0,0,0,1,2004,"MAHERN, EDMUND M",5
0,0,1,0,2000,"MANGUS, RICHARD W",15
0,0,1,0,2002,"MANGUS, RICHARD W",16
0,0,1,0,2000,"MANNWEILER, PAUL S",12
0,0,1,0,2012,"MAYFIELD, PEGGY",1
0,0,1,0,2014,"MAYFIELD, PEGGY",2
0,0,0,1,2002,"MAYS, CAROLENE RENEE",1
0,0,0,1,2004,"MAYS, CAROLENE RENEE",2
0,0,0,1,2006,"MAYS, CAROLENE RENEE",3
0,0,1,0,2000,"MCCLAIN, RICHARD W (RICH)",4
0,0,1,0,2002,"MCCLAIN, RICHARD W (RICH)",5
0,0,1,0,2004,"MCCLAIN, RICHARD W (RICH)",6
0,0,1,0,2006,"MCCLAIN, RICHARD W (RICH)",7
0,0,1,0,2008,"MCCLAIN, RICHARD W (RICH)",8
0,0,1,0,2010,"MCCLAIN, RICHARD W (RICH)",9
0,0,1,0,2010,"MCMILLIN, JUDSON G (JUD)",1
0,0,1,0,2012,"MCMILLIN, JUDSON G (JUD)",2
0,0,1,0,2014,"MCMILLIN, JUDSON G (JUD)",3
0,0,1,0,2010,"MCNAMARA, WENDY (MAC)",1
0,0,1,0,2012,"MCNAMARA, WENDY (MAC)",2
0,0,1,0,2014,"MCNAMARA, WENDY (MAC)",3
0,0,0,1,2000,"MELLINGER, SCOTT C",2
0,0,1,0,2004,"MESSER, LUKE",2
0,0,1,0,2008,"MESSMER, MARK B",1
0,0,1,0,2010,"MESSMER, MARK B",2
0,0,1,0,2012,"MESSMER, MARK B",3
0,0,0,1,2008,"MICHAEL, NANCY A",1
0,0,0,1,2004,"MICON, JOE",1
0,0,0,1,2006,"MICON, JOE",2
