bill_number,bill_id,title
LB1041,150570,"Change provisions relating to findings and orders of the Commission of Industrial Relations"
LB1042,150571,"Change provisions relating to findings and orders of the Commission of Industrial Relations"
LB1043,150572,"Change medical lien provisions and provide for discovery of medical treatment value and payment rights"
LB1044,150573,"Change employer liability provisions under the Nebraska Workers' Compensation Act"
LB1045,150574,"Change provisions relating to the designation of jury commissioner"
LB1046,150575,"Change speedy trial and indefinite continuance provisions"
LB1047,150576,"Provide for construction of terms in wills and trusts relating to federal laws"
LB1048A,150577,"Appropriation Bill"
LB1048,150578,"Provide for approval and taxation of certain power generating facilities using wind as a fuel source"
LB1049,150579,"Change provisions relating to community-based energy projects "
LB1050,150580,"Require a second coroner's opinion as prescribed"
LB1051,150581,"Change provisions relating to certificate terms, fees, and rosters of abstracters"
LB1052,150582,"Adopt the Agricultural Production and Economic Stability and Assistance Act"
LB1053,150583,"Exempt prepared food, computer software, and certain tangible personal property from sales tax"
LB1054,150584,"Adopt the correlative rights doctrine relating to the use of ground water as prescribed"
LB1055,150585,"Change provisions relating to extended unemployment benefits"
LB1056,150586,"Provide for measurement of aquifer depletion and limitations on irrigation as prescribed"
LB1057,150587,"Create the Republican River Basin Water Sustainability Task Force"
LB1058,150588,"Rename and change a formula in the Community College Foundation and Equalization Aid Act"
LB1059,150589,"Provide for digital and electronic signatures on initiative and referendum petitions"
LB1060,150590,"Change requirements for driving in the right-hand lane of a roadway"
LB1061,150591,"Adopt the Tuition Equalization Grant Program Act"
LB1062,150592,"Change provisions relating to murder in the second degree and create the offenses of voluntary and involuntary manslaughter"
LB1063,150593,"Change provisions relating to public art and funding for the Nebraska Cultural Preservation Endowment Fund"
LB1064,150594,"Adopt the Limited Purpose Sanitary and Improvement District Act"
LB1065,150595,"Change provisions relating to towing of vehicles"
LB1066,150596,"Provide for sales and use tax on certain services"
LB1067,150597,"Require pulse oximetry screening for newborns"
LB1068,150598,"Adopt the Rural Tourism Development Act"
LB1069,150599,"Change technology purchase and funding provisions relating to educational service units"
LB1070,150600,"Change provisions relating to learning communities and educational service unit funding"
LB1071,150601,"Change provisions relating to schools"
LB1072,150602,"Change state aid and levy limits for community colleges"
LB1073,150603,"Adopt the Building Nebraska's Creative Economy Act and provide income tax credits"
LB1074,150604,"Provide for job training grants to film production companies"
LB1075,150605,"Adopt the Alcoholic Liquor Liability Act"
LB1076,150606,"Change provisions relating to evaluation of river basins, subbasins, and reaches"
LB1077,150607,"Change the manner of valuing agricultural land for property tax purposes"
LB1078,150608,"Update references to the Internal Revenue Code"
LB1079,150609,"Change the time for appealing to the Tax Equalization and Review Commission and certain dates relating to property tax assessment and equalization"
LB1080,150610,"Provide tax incentives for wind energy projects"
LB1081,150611,"Adopt the Teleworker Job Creation Act"
LB1082,150612,"Rename and change a formula under the Community College Foundation and Equalization Aid Act"
LB1083,150613,"Change provisions relating to contents of a certification of trust"
LB1084,150614,"Provide for seizures of pet animals and equines as prescribed"
LB1085,150615,"Change provisions relating to garnishment"
LB1086,150616,"Change provisions relating to determination of the state unemployment insurance tax rate"
LB1087,150617,"Change provisions relating to payment for educational services "
LB1088,150618,"Adopt the Physician and Patient Prescription Protection Act"
LB1089,150619,"Adopt the Nebraska Uniform Adult Guardianship and Protective Proceedings Jurisdiction Act"
LB1090,150620,"Approve claims against the state and authorize write offs"
LB1091,150621,"Disapprove claims against the state"
LB1092,150622,"Provide restrictions on fees for towing services"
LB1093,150623,"Change Medicaid Prescription Drug Act provisions"
LB1094A,150624,"Appropriation Bill"
LB1094,150625,"Adopt the Nonrecourse Civil Litigation Act"
LB1095,150626,"Change distribution of educational service unit funds"
LB1096,150627,"Adopt the Nebraska High Performance Schools Initiative Act"
LB1097,150628,"Change property tax levy limitations"
LB1098,150629,"Authorize creation of sustainable energy financing districts by municipalities"
LB1099,150630,"Authorize the establishment of a recycling program in cities of the metropolitan class"
LB1100,150631,"Allow operation of low-speed vehicles on highways as prescribed"
LB1101,150632,"Authorize use of employee furloughs by the Legislature"
LB1102A,150633,"Appropriation Bill"
LB1102,150634,"License and regulate wagering on historic horseraces"
LB1103,150635,"Adopt the Pain-Capable Unborn Child Protection Act"
LB1104,150636,"Change judges' salaries"
LB1105,150637,"Require an audit of death penalty costs"
LB1106,150638,"Provide for school-based health centers under the Medical Assistance Act"
LB1107,150639,"Change the priority of liens for special assessments"
