bill_number,bill_id,title
HB255,216766,Cuba Reconciliation Act
HB256,216767,Baseball Diplomacy Act
HB257,216768,United States Library Trust Fund Act
HB258,216769,Chesapeake Bay Accountability and Recovery Act of 2011
HB259,216770,For the relief of Alemseghed Mussie Tesfamical.
HB260,227134,Commute LESS Act of 2011
HB261,227135,No New Drilling Act of 2011
HB262,227136,Mandatory Returning of Allowances Act
HB263,227137,Fire Sale Loophole Closing Act
HB264,227138,Northern California Ocean and Coastal Protection Act
HB265,227139,New Columbia Admission Act
HB266,227140,District of Columbia Equal Representation Act of 2011
HB267,227141,District of Columbia House Voting Rights Act of 2011
HB268,227142,To amend the Federal Election Campaign Act of 1971 to reduce the limit on the amount of certain contributions which may be made to a candidate with respect to an election for Federal office.
HB269,227143,Leadership PAC Limitation Act
HB270,227144,To provide for a 10 percent reduction in pay for Members of Congress to make Federal civilian employees subject to a period of mandatory unpaid leave to reduce appropriations for salaries and expenses for offices of the legislative branch during fiscal year 2012 and for other purposes.
HB271,227145,To direct the Secretary of Agriculture to establish a program to provide covered institutions loans for conversion to use of biomass for energy generation.
HB272,227146,To amend the Consumer Product Safety Improvement Act to exempt ordinary books and paper-based printed material from the lead limit in such Act.
HB273,227147,Rural Housing Preservation Act of 2011
HB274,227148,To rename the Homestead National Monument of America near Beatrice Nebraska as the Homestead National Historical Park.
HB275,227149,Homestead National Monument of America Boundary Expansion Act
HB276,227150,To amend title 38 United States Code to allow for the transfer of educational assistance under the Post-9/11 Educational Assistance Program to certain dependents to be used for special education.
HB277,227151,Rural Energy Equity Act of 2011
HB278,227152,To amend the Internal Revenue Code of 1986 to provide for tax exempt qualified small issue bonds to finance agricultural processing property.
HB279,227153,To prohibit any Federal agency or official in carrying out any Act or program to reduce the effects of greenhouse gas emissions on climate change from imposing a fee or tax on gaseous emissions emitted directly by livestock.
HB280,227154,Secure the Capitol Act
HB281,227155,Los Padres National Forest Land Exchange Act
HB282,227156,To require Federal contractors to participate in the E-Verify Program for employment eligibility verification.
HB283,227157,Living American Wage (LAW) Act of 2011
HB284,227158,Veterans Women Families with Children and Persons With Disabilities Housing Fairness Act of 2011
HB285,227159,Pakistani Temporary Protected Status Act of 2011
HB286,227160,Johnson Space Center Workforce Stability Act of 2011
HB287,227161,Homes for Heroes Act of 2011
HB288,227162,Renewable Energy Applied Partnerships (REAP) Act
HB289,227163,National STEM Education Tax Incentive for Teachers Act of 2011
HB290,227164,War Memorial Protection Act
HB291,227165,Expanding Tax Assistance Act of 2011
HB292,227166,Stop the OverPrinting (STOP) Act
HB293,227167,To amend the Internal Revenue Code of 1986 to exclude executive branch officers and employees from nonrecognition rules relating to the sale of property to comply with conflict-of-interest requirements.
HB294,227168,Museum of Ideas Act of 2011
HB295,227169,To amend the Hydrographic Services Improvement Act of 1998 to authorize funds to acquire hydrographic data and provide hydrographic services specific to the Arctic for safe navigation delineating the United States extended continental shelf and the monitoring and description of coastal changes.
HB296,227170,Salmon Lake Land Selection Resolution Act
HB297,244862,To require amounts remaining in Members' representational allowances at the end of a fiscal year to be used for deficit reduction or to reduce the Federal debt and for other purposes.
